common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common
Grey Wagtail,http://app.bto.org/birdfacts/results/bob10190.htm,Motacilla cinerea,"Resident Breeder, Passage Visitor",10000 - 100000 Pairs,GL,GREWA,31622.77660168378
Pied Wagtail,http://app.bto.org/birdfacts/results/bob10200.htm,Motacilla alba,"Migrant/Resident Breeder, Passage Visitor",100000 - 500000 Pairs,PW,PIEWA,223606.79774997893
Richard’s Pipit,http://app.bto.org/birdfacts/results/bob10020.htm,Anthus richardi,Scarce Visitor,100-500 Birds,PR,RICPI,223.606797749979
Blyth’s Pipit,http://app.bto.org/birdfacts/results/bob10040.htm,Anthus godlewskii,Accidental,10 - 100 Records,,BLYPI,31.622776601683803
Tawny Pipit,http://app.bto.org/birdfacts/results/bob10050.htm,Anthus campestris,Accidental,10 - 100 Birds,TI,TAWPI,31.622776601683803
Meadow Pipit,http://app.bto.org/birdfacts/results/bob10110.htm,Anthus pratensis,"Migrant/Resident Breeder, Passage/Winter Visitor",1.9E06 Pairs,MP,MEAPI,1900000.0
Tree Pipit,http://app.bto.org/birdfacts/results/bob10090.htm,Anthus trivialis,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,TP,TREPI,31622.77660168378
Olive-backed Pipit,http://app.bto.org/birdfacts/results/bob10080.htm,Anthus hodgsoni,Scarce Visitor,10 - 100 Birds,OV,OLBPI,31.622776601683803
Pechora Pipit,http://app.bto.org/birdfacts/results/bob10100.htm,Anthus gustavi,Scarce Visitor,100-500 Records,,PECPI,223.606797749979
Red-throated Pipit,http://app.bto.org/birdfacts/results/bob10120.htm,Anthus cervinus,Accidental,500 - 1000 Records,VP,RETPI,707.1067811865473
Buff-bellied Pipit,http://app.bto.org/birdfacts/results/bob10144.htm,Anthus rubescens,Accidental,10 - 100 Records,,AMEPI,31.622776601683803
Water Pipit,http://app.bto.org/birdfacts/results/bob10141.htm,Anthus spinoletta,Passage/Winter Visitor,100-500 Birds,WI,WATPI,223.606797749979
